API로 데이터 수집 (820일치)...
저장: /Users/sunny/Desktop/ai-lab/trading/rl/eth_30m_v41.csv
학습: 29760개 (2023-12-21 ~ 2025-09-01)
테스트: 9572개 (2025-09-01 ~ 2026-03-19)
레버리지: 3x | 피처: 10개 | 스텝: 2,000,000
[19:34:02] 스텝 1,220,000/2,000,000 ( 61.0%) | 평균보상: N/A | ETA: ~16분
[19:34:27] 스텝 1,240,000/2,000,000 ( 62.0%) | 평균보상: N/A | ETA: ~15분
[19:34:51] 스텝 1,260,000/2,000,000 ( 63.0%) | 평균보상: N/A | ETA: ~15분
[19:35:16] 스텝 1,280,000/2,000,000 ( 64.0%) | 평균보상: N/A | ETA: ~14분
[19:35:41] 스텝 1,300,000/2,000,000 ( 65.0%) | 평균보상: N/A | ETA: ~14분
[19:36:06] 스텝 1,320,000/2,000,000 ( 66.0%) | 평균보상: N/A | ETA: ~14분
[19:36:31] 스텝 1,340,000/2,000,000 ( 67.0%) | 평균보상: N/A | ETA: ~13분
[19:36:55] 스텝 1,360,000/2,000,000 ( 68.0%) | 평균보상: N/A | ETA: ~13분
[19:37:20] 스텝 1,380,000/2,000,000 ( 69.0%) | 평균보상: N/A | ETA: ~12분
[19:37:44] 스텝 1,400,000/2,000,000 ( 70.0%) | 평균보상: N/A | ETA: ~12분
[19:38:09] 스텝 1,420,000/2,000,000 ( 71.0%) | 평균보상: N/A | ETA: ~12분
[19:38:34] 스텝 1,440,000/2,000,000 ( 72.0%) | 평균보상: N/A | ETA: ~11분
[19:38:59] 스텝 1,460,000/2,000,000 ( 73.0%) | 평균보상: N/A | ETA: ~11분
[19:39:24] 스텝 1,480,000/2,000,000 ( 74.0%) | 평균보상: N/A | ETA: ~10분
[19:39:48] 스텝 1,500,000/2,000,000 ( 75.0%) | 평균보상: N/A | ETA: ~10분
[19:40:13] 스텝 1,520,000/2,000,000 ( 76.0%) | 평균보상: N/A | ETA: ~9분
[19:40:38] 스텝 1,540,000/2,000,000 ( 77.0%) | 평균보상: N/A | ETA: ~9분
[19:41:02] 스텝 1,560,000/2,000,000 ( 78.0%) | 평균보상: N/A | ETA: ~9분
[19:41:27] 스텝 1,580,000/2,000,000 ( 79.0%) | 평균보상: N/A | ETA: ~8분
[19:41:52] 스텝 1,600,000/2,000,000 ( 80.0%) | 평균보상: N/A | ETA: ~8분
[19:42:17] 스텝 1,620,000/2,000,000 ( 81.0%) | 평균보상: N/A | ETA: ~7분
[19:42:41] 스텝 1,640,000/2,000,000 ( 82.0%) | 평균보상: N/A | ETA: ~7분
[19:43:07] 스텝 1,660,000/2,000,000 ( 83.0%) | 평균보상: N/A | ETA: ~7분
[19:43:31] 스텝 1,680,000/2,000,000 ( 84.0%) | 평균보상: N/A | ETA: ~6분
[19:43:56] 스텝 1,700,000/2,000,000 ( 85.0%) | 평균보상: N/A | ETA: ~6분
[19:44:21] 스텝 1,720,000/2,000,000 ( 86.0%) | 평균보상: N/A | ETA: ~5분
[19:44:45] 스텝 1,740,000/2,000,000 ( 87.0%) | 평균보상: N/A | ETA: ~5분
[19:45:10] 스텝 1,760,000/2,000,000 ( 88.0%) | 평균보상: N/A | ETA: ~4분
[19:45:35] 스텝 1,780,000/2,000,000 ( 89.0%) | 평균보상: N/A | ETA: ~4분
[19:45:59] 스텝 1,800,000/2,000,000 ( 90.0%) | 평균보상: N/A | ETA: ~4분
[19:46:24] 스텝 1,820,000/2,000,000 ( 91.0%) | 평균보상: N/A | ETA: ~3분
[19:46:48] 스텝 1,840,000/2,000,000 ( 92.0%) | 평균보상: N/A | ETA: ~3분
[19:47:14] 스텝 1,860,000/2,000,000 ( 93.0%) | 평균보상: N/A | ETA: ~2분
[19:47:40] 스텝 1,880,000/2,000,000 ( 94.0%) | 평균보상: N/A | ETA: ~2분
[19:48:05] 스텝 1,900,000/2,000,000 ( 95.0%) | 평균보상: N/A | ETA: ~2분
[19:48:31] 스텝 1,920,000/2,000,000 ( 96.0%) | 평균보상: N/A | ETA: ~1분
[19:48:56] 스텝 1,940,000/2,000,000 ( 97.0%) | 평균보상: N/A | ETA: ~1분
[19:49:22] 스텝 1,960,000/2,000,000 ( 98.0%) | 평균보상: N/A | ETA: ~0분
[19:49:46] 스텝 1,980,000/2,000,000 ( 99.0%) | 평균보상: N/A | ETA: ~0분
[19:50:11] 스텝 2,000,000/2,000,000 (100.0%) | 평균보상: N/A | ETA: ~0분

✅ 모델 저장: /Users/sunny/Desktop/ai-lab/trading/rl/models/v41/ppo_eth_30m.zip
백테스트: python trading/rl/compare_v4_v41.py
