time,open,high,low,close,volume,rsi,macd,macd_hist,bb_upper,bb_lower,bb_pct,ema20,ema50,atr,vol_ratio
2024-05-06,3136.4,3221.4,3046.35,3062.6,355135.3027,38.21196850697585,-56.33665074535156,5.116932497003162,3296.0595390271615,2942.398460972838,0.33987777136362873,3140.881199223029,3289.4714000000004,171.53229538755468,0.9833060405797814
2024-05-07,3062.59,3129.85,2998.0,3005.69,298796.6829,36.12678503172109,-60.388587317812835,0.8519967396335133,3294.0492766839616,2946.4367233160383,0.17045781606525112,3128.005846916074,3278.342717647059,168.69784571701507,0.8500386517996692
2024-05-08,3005.69,3038.15,2936.48,2974.21,266934.8125,34.989388150605976,-65.38621754047836,-3.316506786425606,3300.005289116554,2931.4617108834473,0.11599249489435987,3113.3586234002573,3266.415944405998,163.910142451514,0.7728208342825416
2024-05-09,2974.2,3059.0,2950.77,3036.23,238561.7462,39.060063234949624,-63.60913332700602,-1.2315380583626165,3300.5790103006607,2928.8649896993397,0.2888376664592208,3106.0130402192804,3257.3890446253704,159.932989419263,0.7296831948724654
2024-05-10,3036.24,3053.89,2878.03,2909.99,327855.8758,34.345877307918954,-71.5623678226957,-7.347818043241844,3308.2864010344897,2896.577598965511,0.0325773968569218,3087.3441792460153,3243.7655526792773,161.07063303217276,0.9898949090062639
2024-05-11,2909.98,2945.67,2886.46,2912.45,138163.1087,34.511744309004804,-76.78176957489995,-10.053775836356877,3311.9431233803953,2869.3988766196053,0.09728094692340472,3070.687590746395,3230.772785907541,153.7948735298747,0.42237204795651234
2024-05-12,2912.45,2955.2,2901.17,2929.29,107670.6323,35.70914324232484,-78.6526767075402,-9.539746375197694,3303.2805649653455,2850.9704350346556,0.17315456759136866,3057.2211535324527,3218.949931558226,146.66881113488364,0.3386381442886417
2024-05-13,2929.3,2996.4,2864.76,2950.99,368664.7648,37.300050864350304,-77.49110620795545,-6.70254070049036,3286.1246825426756,2841.279317457325,0.2466265609435431,3047.103900815076,3208.4416989480997,145.59532462524908,1.1389460535414184
2024-05-14,2950.99,2960.6,2862.0,2881.93,269675.3037,34.38394691914117,-81.20701415035546,-8.334758914312289,3284.148871268951,2817.3681287310487,0.13831305661395984,3031.373053118402,3195.637318597194,142.23851572344557,0.8493511104348324
2024-05-15,2881.93,3041.36,2863.75,3032.55,350254.3188,44.56352813749493,-71.17763132288701,1.3556991305249397,3272.7583915132795,2816.4336084867205,0.47360213504051846,3031.4851432976016,3189.241737475735,144.76505031462804,1.1034908269735892
2024-05-16,3032.55,3041.24,2922.8,2944.7,293874.1513,40.60658274119956,-69.51668886463813,2.4133132710190637,3263.760622523402,2806.771377476599,0.3018202813706803,3023.219891554973,3179.651865417863,142.88468957786887,0.9198707396583045
2024-05-17,2944.7,3120.0,2933.06,3092.01,357724.7731,48.814005153937764,-55.671942621113885,13.006447611634655,3232.9752953921497,2821.201704607851,0.6576630980057389,3029.7713304544995,3176.2149295191234,146.03149746516397,1.1138210215672453
2024-05-18,3092.0,3146.98,3083.61,3122.94,199976.5456,50.36492560695207,-41.72313069104712,21.564207633361143,3199.9361236001955,2840.1898763998047,0.7859710165168005,3038.6445370778806,3174.125716596805,140.12710478908082,0.6329783531684134
2024-05-19,3122.94,3136.64,3053.38,3071.19,166145.0102,47.75759592383329,-34.44730219095436,23.072028906763123,3169.4351785924564,2856.1368214075437,0.6864165536161085,3041.744104975225,3170.089021828303,136.0651687327179,0.5480707212239802
2024-05-20,3071.2,3694.0,3047.67,3661.78,847107.8828,68.07187988988869,18.758287684514016,61.022095025785205,3375.0126498573227,2715.3323501426767,1.4347065544730118,3100.795142596632,3189.3710209722913,172.5126566803809,2.6687731260231002
2024-05-21,3661.79,3841.54,3624.28,3789.6,952437.2694,70.72508830594549,70.42627647373274,90.15206705200315,3552.2061769877855,2619.8528230122147,1.2546178677858164,3166.395605206477,3212.909412306711,175.70889548892512,2.853416343895886
